study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB18629	SAMEA103911552	ERS1600720	ERX1943914	ERR1883413	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883413/R8521.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883413/R8521.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883413/R8521.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883413/R8521.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883413	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883413		
PRJEB18629	SAMEA103911553	ERS1600721	ERX1943915	ERR1883414	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883414/R8522.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883414/R8522.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883414/R8522.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883414/R8522.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883414	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883414		
PRJEB18629	SAMEA103911554	ERS1600722	ERX1943916	ERR1883415	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883415/R8523.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883415/R8523.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883415/R8523.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883415/R8523.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883415	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883415		
PRJEB18629	SAMEA103911555	ERS1600723	ERX1943917	ERR1883416	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883416/R9958.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883416/R9958.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883416/R9958.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883416/R9958.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883416	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883416		
PRJEB18629	SAMEA103911556	ERS1600724	ERX1943918	ERR1883417	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883417/R9959.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883417/R9959.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883417/R9959.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883417/R9959.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883417	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883417		
PRJEB18629	SAMEA103911557	ERS1600725	ERX1943919	ERR1883418	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883418/ERR1883418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883418/L5603.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883418/L5603.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883418/L5603.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883418/L5603.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883418	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883418		
PRJEB18629	SAMEA103911558	ERS1600726	ERX1943920	ERR1883419	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883419/ERR1883419_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883419/L5604.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883419/L5604.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883419/L5604.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883419/L5604.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883419	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883419		
PRJEB18629	SAMEA103911559	ERS1600727	ERX1943921	ERR1883420	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883420/ERR1883420_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883420/L5605.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883420/L5605.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883420/L5605.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883420/L5605.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883420	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883420		
PRJEB18629	SAMEA103911560	ERS1600728	ERX1943922	ERR1883421	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883421/ERR1883421_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883421/L5606.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883421/L5606.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883421/L5606.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883421/L5606.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883421	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883421		
PRJEB18629	SAMEA103911561	ERS1600729	ERX1943923	ERR1883422	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883422/ERR1883422_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883422/L5607.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883422/L5607.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883422/L5607.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883422/L5607.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883422	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883422		
PRJEB18629	SAMEA103911562	ERS1600730	ERX1943924	ERR1883423	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883423/ERR1883423_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883423/L5608.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883423/L5608.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883423/L5608.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883423/L5608.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883423	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883423		
